epoch,loss,ppl,accuracy
172, 4.49910, 89.93623,38.329
173, 4.48280, 88.48182,38.613
174, 4.46737, 87.12693,38.822
175, 4.45249, 85.84003,38.984
176, 4.43787, 84.59436,39.231
177, 4.42205, 83.26664,39.447
178, 4.40851, 82.14738,39.583
179, 4.39283, 80.86933,39.835
180, 4.38002, 79.83953,39.984
181, 4.36578, 78.71039,40.154
182, 4.35165, 77.60636,40.442
183, 4.33819, 76.56858,40.694
184, 4.32310, 75.42233,40.930
185, 4.30915, 74.37691,41.158
186, 4.29461, 73.30341,41.378
187, 4.28148, 72.34757,41.636
188, 4.26692, 71.30191,41.830
189, 4.25182, 70.23326,42.150
190, 4.23805, 69.27232,42.319
191, 4.22253, 68.20590,42.647
192, 4.20948, 67.32124,42.884
193, 4.19493, 66.34905,43.148
194, 4.18117, 65.44226,43.370
195, 4.16963, 64.69166,43.545
196, 4.15393, 63.68347,43.855
197, 4.14008, 62.80778,44.094
198, 4.12771, 62.03601,44.267
199, 4.11398, 61.18974,44.505
200, 4.09970, 60.32225,44.711
201, 4.08569, 59.48311,44.957
202, 4.07391, 58.78630,45.147
203, 4.06210, 58.09601,45.330
204, 4.04683, 57.21585,45.629
205, 4.03463, 56.52195,45.797
206, 4.02192, 55.80835,46.041
207, 4.00777, 55.02403,46.310
208, 3.99563, 54.35985,46.403
209, 3.98236, 53.64347,46.727
210, 3.96986, 52.97736,46.967
211, 3.95651, 52.27443,47.174
212, 3.94418, 51.63392,47.346
213, 3.93087, 50.95138,47.594
214, 3.91853, 50.32642,47.813
215, 3.90496, 49.64823,48.019
216, 3.89343, 49.07914,48.201
217, 3.88047, 48.44676,48.420
218, 3.86872, 47.88129,48.618
219, 3.85379, 47.17149,48.795
220, 3.84241, 46.63777,48.966
221, 3.83050, 46.08567,49.151
222, 3.81683, 45.45967,49.391
223, 3.80561, 44.95258,49.532
224, 3.79238, 44.36172,49.794
225, 3.78011, 43.82076,49.982
226, 3.76649, 43.22788,50.227
227, 3.75444, 42.71020,50.451
228, 3.74150, 42.16109,50.664
229, 3.72831, 41.60864,50.866
230, 3.71615, 41.10566,51.098
231, 3.70492, 40.64682,51.245
232, 3.69015, 40.05095,51.496
233, 3.67676, 39.51805,51.811
234, 3.66433, 39.02994,51.974
235, 3.65195, 38.54994,52.173
236, 3.63973, 38.08163,52.408
237, 3.62561, 37.54747,52.617
238, 3.61286, 37.07203,52.840
239, 3.59985, 36.59268,53.056
240, 3.58768, 36.15015,53.253
241, 3.57456, 35.67881,53.452
242, 3.55970, 35.15272,53.755
243, 3.54862, 34.76543,53.906
